Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
황비홍 마라탕,중식당,94,33,서울 강남구 논현로113길 7 103호,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""혼밥하기 좋아요""; ""매장이 청결해요"""
논현양꼬치,양꼬치,293,387,서울 강남구 학동로6길 37,4.43,"""음식이 맛있어요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""고기 질이 좋아요""; ""양이 많아요"""
명정루 역삼점,중식당,488,138,서울 강남구 논현로94길 19 1층 명정루,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""친절해요""; ""재료가 신선해요""; ""특별한 메뉴가 있어요"""
양파이 논현점,양꼬치,169,233,서울 강남구 강남대로124길 3-6 1층,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""직접 잘 구워줘요""; ""인테리어가 멋져요"""
동방미식,중식당,206,273,서울 강남구 논현로106길 18 1층,4.62,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""재료가 신선해요""; ""매장이 청결해요"""
도화,중식당,793,103,서울 서초구 서운로6길 22 뉴코리아빌딩 1층,N/A,"""음식이 맛있어요""; ""친절해요""; ""매장이 넓어요""; ""재료가 신선해요""; ""단체모임 하기 좋아요"""
취향마라 마라탕 역삼점,중식당,656,205,서울 강남구 논현로94길 5 1층 취향마라 마라탕,4.43,"""음식이 맛있어요""; ""재료가 신선해요""; ""혼밥하기 좋아요""; ""친절해요""; ""양이 많아요"""
취홍반점,중식당,26,2,서울 강남구 논현로 522,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요""; ""가성비가 좋아요"""
두보마라탕,마라탕,9,49,서울 강남구 논현로 552 2층 201호,N/A,
싱카이 역삼점,중식당,606,157,서울 강남구 논현로 508 GS타워 B1,4.27,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""매장이 청결해요""; ""매장이 넓어요"""
9000마라탕,중식당,N/A,N/A,서울 강남구 논현로 552,N/A,
제제 양재점,중식당,102,43,서울 서초구 강남대로41길 15-19 B1층,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""재료가 신선해요""; ""친절해요""; ""특별한 메뉴가 있어요"""
명정루 양재,중식당,523,143,서울 서초구 남부순환로347길 23 1층,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""친절해요""; ""재료가 신선해요""; ""특별한 메뉴가 있어요"""
차이나정향,중식당,5,4,서울 강남구 봉은사로30길 70 2층,N/A,
루안,중식당,1,N/A,서울 강남구 논현로 430,N/A,
경성양꼬치,양꼬치,25,30,서울 강남구 봉은사로30길 67 지상1층,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""매장이 넓어요""; ""매장이 청결해요"""
양궈푸마라탕 역삼1호점,중식당,1602,462,서울 강남구 논현로94길 21 1층,4.53,"""음식이 맛있어요""; ""재료가 신선해요""; ""매장이 넓어요""; ""혼밥하기 좋아요""; ""양이 많아요"""
중국성,중식당,189,16,서울 서초구 서초중앙로8길 136,4.28,"""음식이 맛있어요""; ""친절해요""; ""재료가 신선해요""; ""혼밥하기 좋아요""; ""양이 많아요"""
용봉,중식당,18,6,서울 서초구 서초대로 331 정우빌딩,N/A,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""재료가 신선해요""; ""가성비가 좋아요""; ""매장이 청결해요"""
삼양만나,중식당,851,917,서울 강남구 학동로2길 11,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""매장이 넓어요""; ""친절해요""; ""단체모임 하기 좋아요"""
신향원양꼬치마라탕,양꼬치,360,81,서울 서초구 강남대로39길 16 더나빌딩 2층,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""재료가 신선해요""; ""친절해요""; ""양이 많아요"""
마봉양꼬치 논현언주역점,양꼬치,107,60,서울 강남구 봉은사로29길 13,4.28,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""양이 많아요""; ""재료가 신선해요"""
1키로탕수육 강남논현점,중식당,91,24,서울 강남구 강남대로126길 17 1층 101호,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""친절해요"""
도원반점,중식당,100,334,서울 강남구 학동로20길 22 103호,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""양이 많아요""; ""매장이 청결해요"""
