Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
두껍삼 역삼직영점,돼지고기구이,2391,830,서울 강남구 테헤란로8길 17,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""매장이 넓어요""; ""단체모임 하기 좋아요""; ""친절해요"""
마초쉐프 강남본점,이탈리아음식,7113,6753,서울 강남구 강남대로106길 29 1층,4.7,"""음식이 맛있어요""; ""매장이 넓어요""; ""인테리어가 멋져요""; ""친절해요""; ""매장이 청결해요"""
스시산원 반주헌,요리주점,297,358,서울 강남구 테헤란로4길 6 센트럴푸르지오시티 지하2층 224호,N/A,"""음식이 맛있어요""; ""대화하기 좋아요""; ""인테리어가 멋져요""; ""친절해요""; ""특별한 메뉴가 있어요"""
화설 강남역점,소고기구이,1041,1600,서울 서초구 서초대로73길 38 1층,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""인테리어가 멋져요""; ""매장이 넓어요""; ""친절해요"""
노랑저고리,한정식,2638,804,서울 서초구 서초대로73길 9 타임빌딩 5층,4.35,"""음식이 맛있어요""; ""단체모임 하기 좋아요""; ""매장이 넓어요""; ""친절해요""; ""가성비가 좋아요"""
고메램 강남점,양갈비,2377,1538,"서울 서초구 강남대로 359 대우도씨에빛 2차 지하 1층,",4.59,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""인테리어가 멋져요""; ""친절해요""; ""매장이 넓어요"""
스시이안앤 강남역점,"초밥,롤",417,2130,서울 강남구 테헤란로1길 25 2층,N/A,"""음식이 맛있어요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""친절해요""; ""혼밥하기 좋아요"""
꽃낙지 강남역삼직영점,낙지요리,481,372,서울 강남구 테헤란로4길 6 제1층 113호,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""양이 많아요""; ""친절해요""; ""매장이 청결해요"""
꼭그닭 강남점,"맥주,호프",1688,2013,서울 강남구 봉은사로4길 37 지하 1층,4.45,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""술이 다양해요""; ""단체모임 하기 좋아요"""
진구곱창,"곱창,막창,양",1448,1752,서울 서초구 서초대로75길 37 1층 진구곱창,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""가성비가 좋아요""; ""친절해요""; ""고기 질이 좋아요"""
사유의서재,양식,1444,1456,서울 강남구 강남대로98길 11 5층 사유의서재,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""특별한 날 가기 좋아요""; ""친절해요""; ""특별한 메뉴가 있어요"""
찜샤브 & 화로구이,한식,269,136,"서울 서초구 서운로 138 서초동아타워 1층 114-1, 114-2호",N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""매장이 넓어요""; ""양이 많아요"""
지미존스 강남역점,샌드위치,30,61,서울 강남구 강남대로 358 지상1층,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""혼밥하기 좋아요""; ""인테리어가 멋져요""; ""친절해요"""
사람사는이야기 강남점,요리주점,727,387,서울 서초구 강남대로65길 12 1층 102호~109호,N/A,"""음식이 맛있어요""; ""친절해요""; ""인테리어가 멋져요""; ""대화하기 좋아요""; ""음악이 좋아요"""
썸띵어바웃커피,"카페,디저트",3379,2824,"서울 강남구 강남대로102길 30 1, 2, 3층",4.42,"""디저트가 맛있어요""; ""커피가 맛있어요""; ""인테리어가 멋져요""; ""음료가 맛있어요""; ""대화하기 좋아요"""
은행골 강남역점,"초밥,롤",10987,3078,서울 서초구 서초대로75길 34 3층 은행골,4.48,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""매장이 넓어요""; ""매장이 청결해요"""
장꼬방,떡카페,1663,870,서울 서초구 강남대로61길 27 1층,4.46,"""디저트가 맛있어요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""매장이 청결해요""; ""가성비가 좋아요"""
바비레드 강남본점,이탈리아음식,4981,6210,서울 강남구 봉은사로6길 39 바비레드,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""인테리어가 멋져요""; ""친절해요""; ""양이 많아요"""
60년전통신촌황소곱창 강남역직영점,"곱창,막창,양",3605,1549,서울 강남구 강남대로100길 13,4.6,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""양이 많아요""; ""친절해요""; ""매장이 넓어요"""
이자카야나무 강남역2호점,이자카야,1284,325,서울 강남구 강남대로78길 8 지하1층 이자카야나무 강남역2호점,N/A,"""음식이 맛있어요""; ""대화하기 좋아요""; ""단체모임 하기 좋아요""; ""인테리어가 멋져요""; ""친절해요"""
응야끼도리 강남점,요리주점,809,4335,서울 서초구 서초대로77길 43 경원빌딩,N/A,"""음식이 맛있어요""; ""친절해요""; ""대화하기 좋아요""; ""술이 다양해요""; ""음악이 좋아요"""
청기와타운 강남점,"육류,고기요리",1314,2691,서울 강남구 강남대로78길 8 1층,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""매장이 넓어요""; ""단체모임 하기 좋아요"""
감탄계 숯불치킨 강남역점,"치킨,닭강정",648,379,서울 강남구 강남대로98길 12-3 2층,N/A,"""음식이 맛있어요""; ""친절해요""; ""양이 많아요""; ""특별한 메뉴가 있어요""; ""인테리어가 멋져요"""
스폰티니 강남점,피자,3757,1356,서울 강남구 강남대로 442 1층,4.38,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""특별한 메뉴가 있어요""; ""매장이 넓어요""; ""양이 많아요"""
차슈밍,중식당,868,454,서울 강남구 강남대로94길 21,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""친절해요""; ""단체모임 하기 좋아요""; ""재료가 신선해요"""
호미호식 강남본점,일식당,2302,1058,서울 강남구 봉은사로4길 36 운현빌딩 1층 2호 호미호식,N/A,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""인테리어가 멋져요""; ""매장이 청결해요"""
퀸즈가든 강남역점,샤브샤브,1159,1026,서울 서초구 강남대로53길 7 강남애니타워 지하1층,4.33,"""음식이 맛있어요""; ""재료가 신선해요""; ""양이 많아요""; ""가성비가 좋아요""; ""매장이 넓어요"""
따롱이훠궈 강남점,중식당,972,1889,서울 서초구 서초대로73길 9 2층,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""인테리어가 멋져요""; ""매장이 넓어요""; ""친절해요"""
이자카야나무 서초점,이자카야,3314,700,서울 서초구 서초대로75길 23 지하1층~지상4층,4.43,"""음식이 맛있어요""; ""대화하기 좋아요""; ""단체모임 하기 좋아요""; ""친절해요""; ""오래 머무르기 좋아요"""
